,index,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor,district
1194,1322,6.5,62.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,GO VAP
1195,1323,5.9,60.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,BINH THANH
1196,1324,6.7,115.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1197,1325,5.2,75.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1198,1326,3.4,60.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1199,1328,5.55,57.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,BINH THANH
1200,1329,4.5,64.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1201,1331,5.38,72.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
1202,1332,4.9,60.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1203,1333,10.88,80.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6
1204,1335,3.1,60.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12
1205,1336,5.2,34.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,GO VAP
1206,1337,5.35,55.4,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7
1207,1338,6.6,55.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN PHU
1208,1339,11.0,77.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,BINH THANH
1209,1340,5.65,42.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,GO VAP
1210,1341,2.2,33.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH THANH
1211,1342,15.5,228.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,THU DUC
1212,1345,14.5,110.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH THANH
1213,1347,6.7,63.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,GO VAP
1214,1348,6.9,60.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
1215,1349,7.1,60.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,GO VAP
1216,1350,5.7,56.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH THANH
1217,1351,4.0,63.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1218,1352,4.0,40.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1219,1354,3.9,54.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,THU DUC
1220,1355,3.4,21.54,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3
1221,1356,3.9,110.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,THU DUC
1222,1357,13.8,152.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,BINH THANH
1223,1358,3.5,36.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,TAN PHU
1224,1359,4.5,45.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,BINH TAN
1225,1360,4.5,45.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,BINH TAN
1226,1361,15.38,120.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,6
1227,1362,4.6,50.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,BINH THANH
1228,1363,11.5,75.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9
1230,1365,2.1,53.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BINH TAN
1233,1368,9.0,42.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,BINH THANH
1237,1372,7.2,86.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1239,1374,7.2,72.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1241,1376,5.8,92.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,TAN PHU
1242,1377,4.1,51.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,TAN PHU
1243,1378,2.5,48.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THU DUC
1244,1379,18.0,108.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,TAN BINH
1245,1380,3.93,45.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1246,1381,4.0,35.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
1248,1383,4.5,73.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1249,1384,5.86,45.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,GO VAP
1250,1385,4.5,92.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1251,1386,6.3,60.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,THU DUC
1252,1387,3.4,41.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,TAN PHU
1253,1388,4.6,58.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH THANH
1254,1390,2.35,41.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12
1256,1392,10.0,72.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,BINH THANH
1257,1393,4.3,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,GO VAP
1259,1396,7.9,89.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8
1261,1398,14.5,110.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,BINH THANH
1262,1399,4.75,43.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
1263,1402,13.0,83.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,BINH THANH
1265,1408,3.2,28.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,HOC MON
1266,1409,11.5,85.0,7.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,GO VAP
1267,1410,3.5,67.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1268,1411,3.9,67.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1269,1413,4.25,82.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
1270,1414,4.4,73.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,12
1271,1415,4.6,50.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,GO VAP
1272,1416,7.5,67.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1273,1417,6.58,44.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,GO VAP
1274,1419,9.8,65.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,THU DUC
1275,1420,2.48,138.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,BINH CHANH
1276,1421,8.2,64.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,PHU NHUAN
1277,1422,4.0,45.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1278,1423,4.0,42.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
1279,1424,3.1,41.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,TAN PHU
1280,1425,3.43,50.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6
1281,1426,3.6,57.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,BINH TAN
1284,1429,4.65,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BINH TAN
1285,1430,4.65,66.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11
1286,1432,6.5,47.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH THANH
1287,1433,4.0,43.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1288,1434,4.85,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12
1289,1435,4.85,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12
1290,1436,2.75,40.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1291,1437,6.2,70.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,PHU NHUAN
1293,1440,5.1,42.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,PHU NHUAN
1294,1441,3.7,34.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,GO VAP
1295,1442,3.8,68.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9
1296,1443,3.4,58.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1297,1444,9.8,80.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,TAN BINH
1298,1445,5.0,130.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,12
1299,1446,3.5,45.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11
1300,1447,3.6,85.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1301,1448,3.8,64.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1302,1449,3.75,57.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,BINH TAN
1303,1450,3.9,29.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,PHU NHUAN
1304,1451,3.9,29.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,PHU NHUAN
1305,1452,3.8,65.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1307,1454,3.7,64.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1308,1456,23.38,120.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10
1309,1457,3.5,55.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,9
1310,1458,6.38,70.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,BINH TAN
1312,1460,4.3,64.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1313,1462,5.3,42.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,GO VAP
1314,1463,12.5,100.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,BINH TAN
1315,1465,45.0,490.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,THU DUC
1316,1466,3.0,80.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,THU DUC
1318,1468,4.25,110.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1319,1469,5.6,72.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12
1320,1470,5.25,110.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12
1321,1471,5.7,41.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,GO VAP
1322,1477,30.0,65.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
1323,1478,5.2,71.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN PHU
1324,1479,4.2,45.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,PHU NHUAN
1325,1481,15.0,72.5,40.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,BINH THANH
1326,1482,15.0,266.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,BINH THANH
1327,1483,15.0,266.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,BINH THANH
1328,1484,3.4,60.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1329,1485,5.35,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1331,1487,4.95,42.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
1332,1488,2.7,35.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,TAN PHU
1333,1489,3.5,60.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THU DUC
1334,1490,6.0,80.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
1335,1491,8.6,50.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,GO VAP
1336,1492,3.3,61.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,THU DUC
1338,1494,7.48,80.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
1339,1495,3.5,45.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11
1340,1497,7.4,47.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,GO VAP
1344,1501,3.6,60.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THU DUC
1345,1502,21.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,PHU NHUAN
1346,1503,12.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,PHU NHUAN
1347,1504,2.65,63.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1348,1505,21.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PHU NHUAN
1349,1506,12.0,117.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,GO VAP
1350,1507,15.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3
1351,1508,35.0,132.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PHU NHUAN
1352,1509,22.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1
1353,1510,3.95,24.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,PHU NHUAN
1354,1511,19.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2
1355,1512,3.6,60.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1359,1516,5.5,56.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,GO VAP
1360,1517,8.8,100.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
1361,1518,12.9,51.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,PHU NHUAN
1362,1522,3.5,60.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1363,1526,5.1,45.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,BINH TAN
1364,1527,30.5,160.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2
1365,1528,32.0,240.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,BINH THANH
1366,1529,22.0,240.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH THANH
1367,1530,6.0,90.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9
1368,1531,12.0,72.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH THANH
1369,1532,3.4,60.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,THU DUC
1370,1533,9.8,180.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,THU DUC
1372,1535,3.45,68.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1373,1536,5.2,90.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,BINH TAN
1374,1537,4.0,54.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
1375,1538,26.0,218.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
1376,1539,18.0,205.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1377,1540,5.25,84.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,12
1378,1547,29.0,71.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,GO VAP
1381,1552,4.48,68.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH TAN
1382,1556,4.9,45.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,PHU NHUAN
1383,1557,13.5,108.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,BINH THANH
1384,1558,27.0,108.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,BINH THANH
1386,1561,7.6,53.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,GO VAP
1387,1562,18.0,80.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,BINH THANH
1388,1563,4.8,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
1389,1566,7.5,105.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1391,1572,6.4,64.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
1392,1573,30.0,71.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,GO VAP
1393,1574,65.0,157.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
1394,1575,65.0,157.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,BINH THANH
1395,1576,3.8,25.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1396,1578,4.45,48.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1397,1580,3.05,64.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
1398,1581,60.0,157.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
1400,1583,13.8,150.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
1401,1584,2.9,60.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1402,1585,4.6,60.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1403,1586,20.0,100.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,8
1404,1587,3.8,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1405,1588,7.6,64.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,TAN PHU
1406,1589,19.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1
1407,1590,3.1,48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1408,1591,8.9,72.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8
1409,1592,4.1,35.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,PHU NHUAN
1410,1593,14.5,62.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,GO VAP
1411,1594,6.5,48.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1412,1596,5.7,56.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
1413,1597,3.4,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1414,1598,5.5,64.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1416,1600,4.4,64.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,TAN PHU
1417,1603,17.0,97.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,BINH THANH
1418,1606,9.0,60.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10
1419,1608,5.5,52.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1420,1609,6.5,63.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,GO VAP
1421,1610,8.99,109.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,BINH THANH
1422,1611,4.45,60.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1423,1614,5.5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1424,1615,5.45,64.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
1425,1616,6.6,80.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,BINH THANH
1426,1617,2.7,36.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,THU DUC
1427,1618,1.3,61.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CU CHI
1428,1619,5.0,50.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH TAN
1429,1620,100.0,225.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1
1430,1621,77.0,154.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1
1431,1622,22.0,117.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5
1432,1623,50.0,84.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
1433,1624,45.0,160.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
1434,1625,6.66,40.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,GO VAP
1435,1626,3.99,90.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1436,1627,6.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6
1437,1629,2.1,40.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1438,1630,12.98,80.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TAN BINH
1439,1631,8.2,65.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2
1440,1632,3.0,40.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,TAN BINH
1441,1633,4.5,45.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
1442,1634,6.6,83.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,GO VAP
1443,1635,3.65,28.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,GO VAP
1444,1636,4.9,30.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,10
1445,1638,2.3,47.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH TAN
1446,1640,4.5,70.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BINH TAN
1447,1641,4.5,38.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
1448,1642,4.9,72.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
1449,1643,5.6,63.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
1450,1644,23.7,158.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2
1451,1645,15.5,155.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,THU DUC
1452,1646,4.35,39.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
1453,1647,4.7,73.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
1454,1648,5.2,182.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,THU DUC
1455,1649,5.2,182.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,THU DUC
1456,1650,3.0,50.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,THU DUC
1457,1651,6.0,66.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,THU DUC
1458,1652,4.5,50.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,THU DUC
1459,1653,6.89,60.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH THANH
1460,1654,32.0,64.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8
