,index,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor,district
61,61,15.5,220.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,THU DUC
62,62,8.9,61.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TAN PHU
63,63,5.7,96.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TAN PHU
64,64,3.4,57.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11
65,65,3.4,57.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,TAN PHU
66,66,7.0,55.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,GO VAP
68,68,6.1,82.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN BINH
69,71,5.78,37.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
70,72,2.4,40.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,THU DUC
73,76,6.6,65.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12
74,77,6.5,68.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH TAN
76,79,2.25,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9
77,80,4.85,63.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,BINH TAN
78,81,4.6,18.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,PHU NHUAN
80,83,5.5,66.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,GO VAP
81,84,4.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TAN PHU
82,85,4.0,61.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
83,86,5.5,100.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN PHU
84,88,5.8,45.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,BINH THANH
85,89,28.5,147.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,THU DUC
87,91,8.71,83.25,4.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,10
88,92,5.9,65.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,TAN PHU
89,93,5.48,44.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8
90,94,12.0,80.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,8
91,95,16.18,98.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,TAN PHU
92,96,4.68,37.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,GO VAP
94,98,3.65,22.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,PHU NHUAN
95,99,3.7,26.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,BINH THANH
96,100,6.18,72.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH TAN
97,101,10.9,101.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,GO VAP
98,103,14.8,95.0,5.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,THU DUC
99,104,5.3,50.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,BINH THANH
100,105,5.5,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,TAN BINH
101,107,4.2,49.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11
102,108,5.3,30.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
103,109,3.3,36.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN PHU
104,110,5.2,57.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,GO VAP
105,111,5.3,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,TAN BINH
106,113,4.8,40.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,TAN PHU
107,114,5.9,65.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3
109,116,3.29,31.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
110,118,8.6,74.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,TAN PHU
111,119,2.8,28.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
112,120,3.7,89.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,BINH TAN
115,124,5.1,64.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,GO VAP
116,125,4.15,55.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11
117,126,7.0,178.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
119,128,4.8,110.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
120,129,3.0,40.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,11
121,130,3.7,75.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
124,133,4.6,22.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,PHU NHUAN
125,134,16.0,129.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,BINH TAN
126,135,18.5,400.0,14.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,THU DUC
129,138,4.5,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH THANH
132,141,3.5,50.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,BINH TAN
133,142,5.9,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN BINH
134,143,5.49,30.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN BINH
135,144,4.2,39.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,TAN BINH
136,145,4.6,58.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,BINH TAN
138,147,4.7,48.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
139,148,10.5,112.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
140,149,12.8,72.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8
141,150,12.8,72.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,8
142,151,8.5,56.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10
143,152,4.5,54.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
144,153,5.5,268.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
146,155,4.35,64.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,BINH TAN
148,158,5.5,76.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,TAN PHU
149,159,6.0,55.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9
152,162,11.5,60.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,BINH TAN
155,165,3.9,60.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH THANH
156,166,2.39,34.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
157,167,2.6,100.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12
158,168,9.8,56.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TAN BINH
159,169,5.0,98.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
160,170,5.5,40.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
161,171,4.5,46.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,THU DUC
162,172,12.99,90.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10
163,173,7.2,88.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
164,174,6.5,56.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,GO VAP
165,175,2.98,67.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12
166,176,6.3,59.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,TAN BINH
167,178,4.6,96.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7
168,179,13.6,80.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,GO VAP
169,180,4.7,70.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,BINH TAN
170,181,5.0,51.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN PHU
171,182,5.2,46.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,BINH TAN
172,183,11.0,80.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,TAN PHU
173,184,3.78,36.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,PHU NHUAN
174,185,3.0,61.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
175,186,3.0,32.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH TAN
176,187,4.85,48.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,TAN PHU
177,188,3.33,49.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
178,189,4.49,45.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,TAN BINH
179,190,3.9,40.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,GO VAP
180,191,3.8,76.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,GO VAP
181,192,37.0,346.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,TAN BINH
182,193,5.0,50.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9
183,194,4.8,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THU DUC
184,195,4.2,64.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,TAN PHU
185,196,3.65,40.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,GO VAP
186,197,3.7,44.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,GO VAP
187,198,3.5,42.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN BINH
188,199,3.6,50.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,BINH TAN
